"ticker","status","market_cap","breakout_flag","image_path","expired_date","asset_type","candle_size","company_name"
"OWL","SUCCESS","21.75348426422782",1,"OWL_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Blue Owl Capital Inc"
"STE","SUCCESS","21.72121643279561",1,"STE_1d_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","STERIS plc"
"ARES","SUCCESS","21.60787065395683",1,"ARES_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Ares Management Corp"
"BRO","SUCCESS","21.29645675673985",2,"BRO_1d_latest_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Brown & Brown Inc"
"FE","SUCCESS","21.236886813122066",1,"FE_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","FirstEnergy Corp"
"SIRI","SUCCESS","20.807053677574626",1,"SIRI_1d_min_support_bearish.png","2024-02-22","STOCK","1d","Sirius XM Holdings Inc"
"FCNCA","SUCCESS","20.4510503511037",1,"FCNCA_1d_avg_support_bearish.png","2024-02-22","STOCK","1d","First Citizens BancShares Inc (Delaware)"
"FLT","SUCCESS","20.42365846221776",1,"FLT_1d_avg_support_bearish.png","2024-02-22","STOCK","1d","Fleetcor Technologies Inc"
"PPL","SUCCESS","19.172605600867335",1,"PPL_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","PPL Corp"
"DT","SUCCESS","17.62443959022962",1,"DT_1d_avg_support_bearish.png","2024-02-22","STOCK","1d","Dynatrace Inc"
"LUV","SUCCESS","17.215811002292714",2,"LUV_1d_max_resistance_bullish_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Southwest Airlines Co"
"SWKS","SUCCESS","16.96161438096289",1,"SWKS_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Skyworks Solutions Inc"
"J","SUCCESS","16.70788067850444",1,"J_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Jacobs Solutions Inc"
"AVY","SUCCESS","16.154575318591366",1,"AVY_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Avery Dennison Corp"
"SUI","SUCCESS","16.054679239",1,"SUI_1d_avg_resistance_bullish.png","2024-02-22","STOCK","1d","Sun Communities Inc"
"JBL","SUCCESS","15.890907365284859",2,"JBL_1d_max_resistance_bullish_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Jabil Inc"
"IEX","SUCCESS","15.657512290437436",1,"IEX_1d_max_resistance_bullish.png","2024-02-22","STOCK","1d","IDEX Corp"
"MAS","SUCCESS","15.279530588369209",1,"MAS_1d_max_resistance_bullish.png","2024-02-22","STOCK","1d","Masco Corp"
"SNA","SUCCESS","15.14045905319575",1,"SNA_1d_avg_support_bearish.png","2024-02-22","STOCK","1d","Snap-On Inc"
"LDOS","SUCCESS","15.109206326224005",2,"LDOS_1d_max_resistance_bullish_latest_max_resistance_bullish.png","2024-02-22","STOCK","1d","Leidos Holdings Inc"
"WPC","SUCCESS","14.244285804",1,"WPC_1d_latest_min_support_bearish.png","2024-02-22","STOCK","1d","WP Carey Inc"
"ENPH","SUCCESS","14.14534175467223",1,"ENPH_1d_max_resistance_bullish.png","2024-02-22","STOCK","1d","Enphase Energy Inc"
"NWS","SUCCESS","13.95686461489695",2,"NWS_1d_max_resistance_bullish_avg_resistance_bullish.png","2024-02-22","STOCK","1d","News Corp"
